Symbol,Nome,Pais,Sigla_Pais,Setor
AACB,Artius II Acquisition Inc.,United States,US,Financial Services
AACBR,Artius II Acquisition Inc.,United States,US,
AACBU,Artius II Acquisition Inc.,United States,US,Financial Services
AACG,ATA Creativity Global,China,CN,Consumer Defensive
AACI,Armada Acquisition Corp. III,United States,US,Financial Services
AACIU,Armada Acquisition Corp. III,United States,US,Financial Services
AACIW,Armada Acquisition Corp. III,United States,US,
AACO,Abony Acquisition Corp. I,United States,US,Financial Services
AACOU,Abony Acquisition Corp. I,United States,US,Financial Services
AACOW,Abony Acquisition Corp. I,United States,US,
AACP,Apogee Acquisition Corp,United States,US,Financial Services
AACPR,Apogee Acquisition Corp,United States,US,
AACPU,Apogee Acquisition Corp,United States,US,Financial Services
AACPW,Apogee Acquisition Corp,United States,US,
AADR,AdvisorShares Dorsey Wright ADR ETF,,,
AAEQ,Alpha Architect US Equity 2 ETF,,,
AAL,American Airlines Group Inc.,United States,US,Industrials
AALG,Leverage Shares 2X Long AAL Daily ETF,,,
AAME,Atlantic American Corporation,United States,US,Financial Services
AAOI,"Applied Optoelectronics, Inc.",United States,US,Technology
AAON,"AAON, Inc.",United States,US,Industrials
AAPB,GraniteShares 2x Long AAPL Daily ETF,,,
AAPD,Direxion Daily AAPL Bear 1X Shares,,,
AAPG,Ascentage Pharma Group Internat,China,CN,Healthcare
AAPL,Apple Inc.,United States,US,Technology
AAPU,Direxion Daily AAPL Bull 2X Shares,,,
AARD,"Aardvark Therapeutics, Inc.",United States,US,Healthcare
AAUS,Alpha Architect US Equity ETF,,,
AAVM,Alpha Architect Global Factor Equity ETF,,,
AAXJ,iShares MSCI All Country Asia ex Japan ETF,,,
ABAT,American Battery Technology Company,United States,US,Industrials
ABCL,AbCellera Biologics Inc.,Canada,CA,Healthcare
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,,,
ABEO,Abeona Therapeutics Inc.,United States,US,Healthcare
ABI,VictoryShares Pioneer Asset-Based Inc ETF,,,
ABIG,Argent Large Cap ETF,,,
ABLV,Able View Global Inc.,China,CN,Consumer Cyclical
ABLVW,Able View Global Inc.,China,CN,
ABNB,"Airbnb, Inc.",United States,US,Consumer Cyclical
ABNG,Leverage Shares 2X Long Abnb Daily ETF,,,
ABOS,"Acumen Pharmaceuticals, Inc.",United States,US,Healthcare
ABSI,Absci Corporation,United States,US,Healthcare
ABTC,American Bitcoin Corp,United States,US,Financial Services
ABTS,Abits Group Inc.,Hong Kong,HK,Financial Services
ABUS,Arbutus Biopharma Corporation,United States,US,Healthcare
ABVC,"ABVC BioPharma, Inc.",United States,US,Healthcare
ABVX,ABIVAX Société Anonyme,France,FR,Healthcare
ACAA,Averin Capital Acquisition Corp.,United States,US,Financial Services
ACAAU,Averin Capital Acquisition Corp.,United States,US,Financial Services
ACAAW,Averin Capital Acquisition Corp.,United States,US,
ACAD,ACADIA Pharmaceuticals Inc.,United States,US,Healthcare
ACB,Aurora Cannabis Inc.,Canada,CA,Healthcare
ACCL,Acco Group Holdings Limited,Hong Kong,HK,Industrials
ACDC,ProFrac Holding Corp.,United States,US,Energy
ACEP,ARS Core Equity Portfolio ETF,,,
ACET,"Adicet Bio, Inc.",United States,US,Healthcare
ACFN,"Acorn Energy, Inc.",United States,US,Technology
ACGC,ACP Holdings Acquisition Corp.,United States,US,Financial Services
ACGCU,ACP Holdings Acquisition Corp.,United States,US,Financial Services
ACGCW,ACP Holdings Acquisition Corp.,United States,US,
ACGL,Arch Capital Group Ltd.,Bermuda,BE,Financial Services
ACGLN,Arch Capital Group Ltd.,Bermuda,BE,Financial Services
ACGLO,Arch Capital Group Ltd.,Bermuda,BE,Financial Services
ACHC,"Acadia Healthcare Company, Inc.",United States,US,Healthcare
ACHV,"Achieve Life Sciences, Inc.",United States,US,Healthcare
