Symbol,dividend_yield,dividend_rate,payout_ratio,ex_dividend_date,last_dividend,dividend_count_1y,total_dividends_1y
ACCL,0.0,0.0,0.0,N/A,0.0,0,0.0
ACDC,0.0,0.0,0.0,N/A,0.0,0,0.0
ACEP,0.0,0.0,0.0,N/A,0.022,0,0.0
ACET,0.0,0.0,0.0,N/A,0.0,0,0.0
ACFN,0.0,0.0,0.0,2013-02-14,0.56,0,0.0
ACGC,0.0,0.0,0.0,N/A,0.0,0,0.0
ACGCU,0.0,0.0,0.0,N/A,0.0,0,0.0
ACGCW,0.0,0.0,0.0,N/A,0.0,0,0.0
ACGL,0.0,0.0,0.0,2024-11-17,5.0,0,0.0
ACGLN,692.0,1.14,0.0,2026-06-14,0.284,0,0.0
ACGLO,698.0,1.36,0.0,2026-06-14,0.341,0,0.0
ACHC,0.0,0.0,0.0,N/A,0.0,0,0.0
ACHV,0.0,0.0,0.0,N/A,0.0,0,0.0
ACIC,0.0,0.0,0.0,2026-01-01,0.75,0,0.0
ACIU,0.0,0.0,0.0,N/A,0.0,0,0.0
ACIW,0.0,0.0,0.0,N/A,0.0,0,0.0
ACLS,0.0,0.0,0.0,N/A,0.0,0,0.0
ACMR,0.0,0.0,0.0,N/A,0.0,0,0.0
ACNB,319.0,1.68,29.09,2026-05-31,0.92,0,0.0
ACNT,0.0,0.0,0.0,2018-11-28,0.25,0,0.0
ACOG,0.0,0.0,0.0,N/A,0.0,0,0.0
ACON,0.0,0.0,0.0,N/A,0.0,0,0.0
ACONW,0.0,0.0,0.0,N/A,0.0,0,0.0
ACRS,0.0,0.0,0.0,N/A,0.0,0,0.0
ACRV,0.0,0.0,0.0,N/A,0.0,0,0.0
ACT,214.0,0.87,18.18,2026-05-27,0.24,0,0.0
ACTG,0.0,0.0,0.0,2015-11-03,0.125,0,0.0
ACTU,0.0,0.0,0.0,N/A,0.0,0,0.0
ACWI,138.0,0.0,0.0,N/A,1.235,0,0.0
ACWX,247.0,0.0,0.0,N/A,1.049,0,0.0
ACXP,0.0,0.0,0.0,N/A,0.0,0,0.0
ADAC,0.0,0.0,0.0,N/A,0.0,0,0.0
ADACU,0.0,0.0,0.0,N/A,0.0,0,0.0
ADAG,0.0,0.0,0.0,N/A,0.0,0,0.0
ADAM,1013.0,0.89,76.07,2026-03-29,0.23,0,0.0
ADAMG,0.0,0.0,0.0,N/A,0.57,0,0.0
ADAMH,0.0,0.0,0.0,N/A,0.617,0,0.0
ADAMI,0.0,0.0,0.0,N/A,0.57,0,0.0
ADAML,711.0,1.72,0.0,2026-03-31,0.43,0,0.0
ADAMM,1077.0,2.72,0.0,2026-03-31,0.648,0,0.0
ADAMN,846.0,2.0,0.0,2026-03-31,0.5,0,0.0
ADAMO,0.0,0.0,0.0,N/A,0.501,0,0.0
ADAMZ,951.0,1.75,0.0,2026-03-31,0.438,0,0.0
ADBE,0.0,0.0,0.0,2005-03-23,0.0065,0,0.0
ADBG,0.0,0.0,0.0,N/A,0.0,0,0.0
ADEA,62.0,0.2,18.35,2026-05-25,0.05,0,0.0
ADGM,0.0,0.0,0.0,N/A,0.0,0,0.0
ADI,101.0,4.4,60.57,2026-06-01,1.1,0,0.0
ADIL,0.0,0.0,0.0,N/A,0.0,0,0.0
ADMA,0.0,0.0,0.0,N/A,0.0,0,0.0
ADP,299.0,6.8,60.45,2026-06-11,1.7,0,0.0
ADPT,0.0,0.0,0.0,N/A,0.0,0,0.0
ADSE,0.0,0.0,0.0,N/A,0.0,0,0.0
ADSEW,0.0,0.0,0.0,N/A,0.0,0,0.0
ADSK,0.0,0.0,0.0,2005-03-21,0.015,0,0.0
ADTN,0.0,0.0,0.0,2023-08-17,0.09,0,0.0
ADTX,0.0,0.0,0.0,N/A,0.0,0,0.0
ADUR,0.0,0.0,0.0,N/A,0.0,0,0.0
ADUS,0.0,0.0,0.0,N/A,0.0,0,0.0
ADV,0.0,0.0,0.0,N/A,0.0,0,0.0
ADVB,0.0,0.0,0.0,N/A,0.0,0,0.0
ADXN,0.0,0.0,0.0,N/A,0.0,0,0.0
AEAQ,0.0,0.0,0.0,N/A,0.0,0,0.0
AEAQU,0.0,0.0,0.0,N/A,0.0,0,0.0
AEBI,84.0,0.1,69.23,2026-06-04,0.025,0,0.0
AEC,0.0,0.0,0.0,N/A,0.0,0,0.0
AEHL,0.0,0.0,0.0,2014-12-09,748.8,0,0.0
AEHR,0.0,0.0,0.0,N/A,0.0,0,0.0
AEI,0.0,0.0,0.0,N/A,0.0,0,0.0
AEIS,12.0,0.4,8.32,2026-05-21,0.1,0,0.0
AEMD,0.0,0.0,0.0,N/A,0.0,0,0.0
AENT,0.0,0.0,0.0,N/A,0.0,0,0.0
AENTW,0.0,0.0,0.0,N/A,0.0,0,0.0
AEP,301.0,3.8,55.62,2026-05-07,0.95,0,0.0
AERT,0.0,0.0,0.0,N/A,0.0,0,0.0
AERTW,0.0,0.0,0.0,N/A,0.0,0,0.0
AESPU,0.0,0.0,0.0,N/A,0.0,0,0.0
AEVA,0.0,0.0,0.0,N/A,0.0,0,0.0
AEYE,0.0,0.0,0.0,N/A,0.0,0,0.0
AFBI,0.0,0.0,0.0,2025-03-12,1.5,0,0.0
AFCG,1657.0,0.58,152.22,2026-03-30,0.05,0,0.0
AFJK,0.0,0.0,0.0,N/A,0.0,0,0.0
AFJKU,0.0,0.0,0.0,N/A,0.0,0,0.0
AFOS,0.0,0.0,0.0,N/A,0.102,0,0.0
AFRI,0.0,0.0,0.0,N/A,0.0,0,0.0
AFRIW,0.0,0.0,0.0,N/A,0.0,0,0.0
AFRM,0.0,0.0,0.0,N/A,0.0,0,0.0
AFSC,7.0,0.0,0.0,N/A,0.024,0,0.0
AFYA,453.0,0.66,41.51,2026-03-24,0.656,0,0.0
AGCC,0.0,0.0,0.0,N/A,0.0,0,0.0
AGEM,175.0,0.0,0.0,N/A,0.17,0,0.0
AGEN,0.0,0.0,0.0,N/A,0.0,0,0.0
AGGA,426.0,0.0,0.0,N/A,0.076,0,0.0
AGIO,0.0,0.0,0.0,N/A,0.0,0,0.0
AGIX,0.0,0.0,0.0,N/A,0.438,0,0.0
AGMB,0.0,0.0,0.0,N/A,0.0,0,0.0
AGMH,0.0,0.0,0.0,N/A,0.0,0,0.0
AGMI,391.0,0.0,0.0,N/A,2.865,0,0.0
AGNC,1416.0,1.44,112.5,2026-05-28,0.12,0,0.0
AGNCL,772.0,1.94,0.0,2026-03-31,0.484,0,0.0
AGNCM,872.0,2.19,0.0,2026-03-31,0.517,0,0.0
AGNCN,927.0,2.39,0.0,2026-03-31,0.565,0,0.0
AGNCO,923.0,2.36,0.0,2026-03-31,0.558,0,0.0
AGNCP,908.0,2.28,0.0,2026-03-31,0.539,0,0.0
AGNCZ,513.0,1.31,0.0,2026-03-31,0.547,0,0.0
AGNG,90.0,0.0,0.0,N/A,0.172,0,0.0
AGNT,437.0,0.2,616.67,2026-05-21,0.05,0,0.0
AGPU,0.0,0.0,0.0,N/A,0.0,0,0.0
AGRZ,0.0,0.0,0.0,N/A,0.0,0,0.0
AGYS,0.0,0.0,0.0,2009-07-15,0.03,0,0.0
AGZD,399.0,0.0,0.0,N/A,0.075,0,0.0
AHCO,0.0,0.0,0.0,N/A,0.0,0,0.0
AHD,0.0,0.0,0.0,N/A,0.579,0,0.0
AHG,0.0,0.0,0.0,2018-07-31,1.2,0,0.0
AHMA,0.0,0.0,0.0,N/A,0.0,0,0.0
AIA,109.0,0.0,0.0,N/A,1.625,0,0.0
AIAI,0.0,0.0,0.0,N/A,0.0,0,0.0
AIDX,0.0,0.0,0.0,N/A,0.0,0,0.0
AIFA,0.0,0.0,0.0,N/A,0.0,0,0.0
AIFC,0.0,0.0,0.0,N/A,0.0,0,0.0
AIFD,0.0,0.0,0.0,N/A,0.0,0,0.0
AIFF,0.0,0.0,0.0,N/A,0.0,0,0.0
AIFU,0.0,0.0,0.0,N/A,3.0,0,0.0
AIHS,0.0,0.0,0.0,N/A,0.0,0,0.0
AIIO,0.0,0.0,0.0,N/A,0.0,0,0.0
AIIOW,0.0,0.0,0.0,N/A,0.0,0,0.0
AIIR,0.0,0.0,0.0,N/A,0.0,0,0.0
AIMD,0.0,0.0,0.0,N/A,0.0,0,0.0
AIMDW,0.0,0.0,0.0,N/A,0.0,0,0.0
AIMS,0.0,0.0,0.0,N/A,0.0,0,0.0
AIOS,0.0,0.0,0.0,N/A,0.0,0,0.0
AIOT,0.0,0.0,0.0,N/A,0.0,0,0.0
AIP,0.0,0.0,0.0,N/A,0.0,0,0.0
AIPI,3386.0,0.0,0.0,N/A,0.264,0,0.0
AIPO,0.0,0.0,0.0,N/A,0.003,0,0.0
AIQ,14.0,0.0,0.0,N/A,0.045,0,0.0
AIRE,0.0,0.0,0.0,N/A,0.0,0,0.0
AIRG,0.0,0.0,0.0,N/A,0.0,0,0.0
AIRJ,0.0,0.0,0.0,N/A,0.0,0,0.0
AIRJW,0.0,0.0,0.0,N/A,0.0,0,0.0
AIRO,0.0,0.0,0.0,N/A,0.0,0,0.0
AIRR,14.0,0.0,0.0,N/A,0.067,0,0.0
AIRS,0.0,0.0,0.0,2022-08-24,0.41,0,0.0
AIRT,0.0,0.0,0.0,2013-06-04,0.2,0,0.0
AIRTP,1036.0,2.0,0.0,2026-08-13,0.5,0,0.0
AISP,0.0,0.0,0.0,N/A,0.0,0,0.0
AISPW,0.0,0.0,0.0,N/A,0.0,0,0.0
AIXC,0.0,0.0,0.0,N/A,0.0,0,0.0
AIXI,0.0,0.0,0.0,N/A,0.0,0,0.0
AKAM,0.0,0.0,0.0,N/A,0.0,0,0.0
AKAN,0.0,0.0,0.0,N/A,0.0,0,0.0
AKBA,0.0,0.0,0.0,N/A,0.0,0,0.0
AKTS,0.0,0.0,0.0,N/A,0.0,0,0.0
AKTX,0.0,0.0,0.0,N/A,0.0,0,0.0
ALAB,0.0,0.0,0.0,N/A,0.0,0,0.0
ALAR,0.0,0.0,0.0,N/A,0.0,0,0.0
ALBG,0.0,0.0,0.0,N/A,0.0,0,0.0
ALBT,0.0,0.0,0.0,N/A,0.0,0,0.0
ALCO,50.0,0.2,21.98,2026-04-01,0.05,0,0.0
ALDF,0.0,0.0,0.0,N/A,0.0,0,0.0
ALDFU,0.0,0.0,0.0,N/A,0.0,0,0.0
ALDFW,0.0,0.0,0.0,N/A,0.0,0,0.0
ALDX,0.0,0.0,0.0,N/A,0.0,0,0.0
ALEC,0.0,0.0,0.0,N/A,0.0,0,0.0
ALF,0.0,0.0,0.0,N/A,0.0,0,0.0
ALFUU,0.0,0.0,0.0,N/A,0.0,0,0.0
ALFUW,0.0,0.0,0.0,N/A,0.0,0,0.0
ALGM,0.0,0.0,0.0,N/A,0.0,0,0.0
ALGN,0.0,0.0,0.0,N/A,0.0,0,0.0
ALGS,0.0,0.0,0.0,N/A,0.0,0,0.0
ALGT,0.0,0.0,0.0,2024-05-13,0.6,0,0.0
ALHC,0.0,0.0,0.0,N/A,0.0,0,0.0
ALIL,22.0,0.0,0.0,N/A,0.068,0,0.0
ALIS,0.0,0.0,0.0,N/A,0.0,0,0.0
ALISU,0.0,0.0,0.0,N/A,0.0,0,0.0
ALKS,0.0,0.0,0.0,N/A,0.0,0,0.0
ALKT,0.0,0.0,0.0,N/A,0.0,0,0.0
ALLO,0.0,0.0,0.0,N/A,0.0,0,0.0
ALLR,0.0,0.0,0.0,N/A,0.0,0,0.0
ALLT,0.0,0.0,0.0,N/A,0.0,0,0.0
ALLW,282.0,0.0,0.0,N/A,1.285,0,0.0
ALM,0.0,0.0,0.0,2014-08-24,0.0375,0,0.0
ALMR,0.0,0.0,0.0,N/A,0.0,0,0.0
ALMS,0.0,0.0,0.0,N/A,0.0,0,0.0
ALMU,0.0,0.0,0.0,N/A,0.0,0,0.0
ALNT,18.0,0.16,8.39,2026-05-20,0.04,0,0.0
ALNY,0.0,0.0,0.0,N/A,0.0,0,0.0
ALOT,0.0,0.0,0.0,2020-03-24,0.07,0,0.0
ALOV,0.0,0.0,0.0,N/A,0.0,0,0.0
ALOVU,0.0,0.0,0.0,N/A,0.0,0,0.0
ALOY,0.0,0.0,0.0,N/A,0.0,0,0.0
ALP,0.0,0.0,0.0,N/A,0.0,0,0.0
ALPS,0.0,0.0,0.0,N/A,0.0,0,0.0
ALRM,0.0,0.0,0.0,N/A,0.0,0,0.0
ALRS,303.0,0.85,80.0,2026-06-25,0.21,0,0.0
ALT,0.0,0.0,0.0,2017-01-19,0.0,0,0.0
ALTI,0.0,0.0,0.0,N/A,0.0,0,0.0
ALTO,0.0,0.0,0.0,N/A,0.0,0,0.0
ALTY,737.0,0.0,0.0,N/A,0.079,0,0.0
ALVO,0.0,0.0,0.0,N/A,0.0,0,0.0
ALVOW,0.0,0.0,0.0,N/A,0.0,0,0.0
ALXO,0.0,0.0,0.0,N/A,0.0,0,0.0
ALZN,0.0,0.0,0.0,N/A,0.0,0,0.0
AMA,0.0,0.0,0.0,N/A,0.0,0,0.0
AMAL,152.0,0.62,17.15,2026-05-04,0.17,0,0.0
AMAN,0.0,0.0,0.0,N/A,0.0,0,0.0
AMAT,42.0,2.12,17.31,2026-05-20,0.53,0,0.0
AMBA,0.0,0.0,0.0,N/A,0.0,0,0.0
AMBR,0.0,0.0,0.0,N/A,0.0,0,0.0
AMCI,0.0,0.0,0.0,N/A,0.0,0,0.0
AMCX,0.0,0.0,0.0,N/A,0.0,0,0.0
AMD,0.0,0.0,0.0,1995-04-26,0.0,0,0.0
AMDD,1728.0,0.0,0.0,N/A,0.114,0,0.0
AMDG,251.0,0.0,0.0,N/A,2.968,0,0.0
AMDL,0.0,0.0,0.0,N/A,0.0,0,0.0
AMGN,298.0,10.08,67.22,2026-05-14,2.52,0,0.0
AMID,35.0,0.0,0.0,N/A,0.12,0,0.0
AMIX,0.0,0.0,0.0,N/A,0.0,0,0.0
AMKR,44.0,0.33,19.1,2026-06-02,0.084,0,0.0
AMLX,0.0,0.0,0.0,N/A,0.0,0,0.0
AMOD,0.0,0.0,0.0,N/A,0.0,0,0.0
AMODW,0.0,0.0,0.0,N/A,0.0,0,0.0
AMPG,0.0,0.0,0.0,N/A,0.0,0,0.0
AMPH,0.0,0.0,0.0,N/A,0.0,0,0.0
AMPL,0.0,0.0,0.0,N/A,0.0,0,0.0
AMRN,0.0,0.0,0.0,N/A,0.0,0,0.0
AMRX,0.0,0.0,0.0,N/A,0.0,0,0.0
AMSC,0.0,0.0,0.0,N/A,0.0,0,0.0
AMSF,544.0,1.64,65.02,2026-06-11,0.41,0,0.0
AMSS,0.0,0.0,0.0,N/A,0.0,0,0.0
AMST,0.0,0.0,0.0,N/A,0.0,0,0.0
AMTX,0.0,0.0,0.0,N/A,0.0,0,0.0
AMUN,326.0,0.0,0.0,N/A,0.064,0,0.0
AMUU,310.0,0.0,0.0,N/A,0.225,0,0.0
AMYY,0.0,0.0,0.0,N/A,0.243,0,0.0
AMZD,372.0,0.0,0.0,N/A,0.054,0,0.0
AMZN,0.0,0.0,0.0,N/A,0.0,0,0.0
AMZU,478.0,0.0,0.0,N/A,0.169,0,0.0
AMZZ,0.0,0.0,0.0,N/A,0.0,0,0.0
ANAB,0.0,0.0,0.0,N/A,0.0,0,0.0
ANDE,110.0,0.8,21.07,2026-03-31,0.2,0,0.0
ANEL,0.0,0.0,0.0,N/A,0.0,0,0.0
ANGH,0.0,0.0,0.0,N/A,0.0,0,0.0
ANGHW,0.0,0.0,0.0,N/A,0.0,0,0.0
ANGI,0.0,0.0,0.0,N/A,0.0,0,0.0
ANGL,634.0,0.0,0.0,N/A,0.154,0,0.0
ANGO,0.0,0.0,0.0,N/A,0.0,0,0.0
ANIK,0.0,0.0,0.0,N/A,0.0,0,0.0
ANIP,0.0,0.0,0.0,N/A,0.0,0,0.0
ANIX,0.0,0.0,0.0,N/A,0.0,0,0.0
ANL,0.0,0.0,0.0,N/A,0.0,0,0.0
ANNA,0.0,0.0,0.0,N/A,0.0,0,0.0
ANNAW,0.0,0.0,0.0,N/A,0.0,0,0.0
ANNX,0.0,0.0,0.0,N/A,0.0,0,0.0
ANPA,0.0,0.0,0.0,N/A,0.0,0,0.0
ANSC,0.0,0.0,0.0,N/A,0.0,0,0.0
ANSCU,0.0,0.0,0.0,N/A,0.0,0,0.0
ANSCW,0.0,0.0,0.0,N/A,0.0,0,0.0
ANTA,0.0,0.0,0.0,N/A,0.0,0,0.0
ANTX,0.0,0.0,0.0,N/A,0.0,0,0.0
ANV,0.0,0.0,0.0,N/A,0.335,0,0.0
ANY,0.0,0.0,0.0,N/A,0.0,0,0.0
AOHY,651.0,0.0,0.0,N/A,0.058,0,0.0
AOSL,0.0,0.0,0.0,N/A,0.0,0,0.0
AOTG,0.0,0.0,0.0,N/A,0.0,0,0.0
AOUT,0.0,0.0,0.0,N/A,0.0,0,0.0
APA,261.0,1.0,23.31,2026-07-21,0.25,0,0.0
APAC,0.0,0.0,0.0,N/A,0.0,0,0.0
APACU,0.0,0.0,0.0,N/A,0.0,0,0.0
APC,1029.0,2.0,0.0,2026-04-09,0.26,0,0.0
APEI,0.0,0.0,0.0,N/A,0.0,0,0.0
APGE,0.0,0.0,0.0,N/A,0.0,0,0.0
API,0.0,0.0,0.0,N/A,0.0,0,0.0
APLD,0.0,0.0,0.0,N/A,0.0,0,0.0
APLM,0.0,0.0,0.0,N/A,0.0,0,0.0
APLMW,0.0,0.0,0.0,N/A,0.0,0,0.0
APM,0.0,0.0,0.0,N/A,0.0,0,0.0
APMCU,0.0,0.0,0.0,N/A,0.0,0,0.0
APOG,290.0,1.08,41.67,2026-05-12,0.27,0,0.0
APP,0.0,0.0,0.0,N/A,0.0,0,0.0
APPF,0.0,0.0,0.0,N/A,0.0,0,0.0
APPN,0.0,0.0,0.0,N/A,0.0,0,0.0
APPS,0.0,0.0,0.0,N/A,0.0,0,0.0
APPX,1671.0,0.0,0.0,N/A,9.975,0,0.0
APRE,0.0,0.0,0.0,N/A,0.0,0,0.0
APURU,0.0,0.0,0.0,N/A,0.0,0,0.0
APVO,0.0,0.0,0.0,N/A,0.0,0,0.0
APWC,0.0,0.0,0.0,2018-09-12,0.08,0,0.0
APXT,0.0,0.0,0.0,N/A,0.0,0,0.0
APXTU,0.0,0.0,0.0,N/A,0.0,0,0.0
APXTW,0.0,0.0,0.0,N/A,0.0,0,0.0
APYX,0.0,0.0,0.0,N/A,0.0,0,0.0
AQB,0.0,0.0,0.0,N/A,0.0,0,0.0
AQMS,0.0,0.0,0.0,N/A,0.0,0,0.0
AQST,0.0,0.0,0.0,N/A,0.0,0,0.0
AQWA,147.0,0.0,0.0,N/A,0.172,0,0.0
ARAI,0.0,0.0,0.0,N/A,0.0,0,0.0
ARAY,0.0,0.0,0.0,N/A,0.0,0,0.0
ARBB,0.0,0.0,0.0,N/A,0.0,0,0.0
ARBE,0.0,0.0,0.0,N/A,0.0,0,0.0
ARBEW,0.0,0.0,0.0,N/A,0.0,0,0.0
ARBK,0.0,0.0,0.0,N/A,0.0,0,0.0
ARCB,34.0,0.48,19.67,2026-05-07,0.12,0,0.0
ARCC,1028.0,1.92,117.79,2026-06-14,0.48,0,0.0
ARCI,0.0,0.0,0.0,N/A,0.0,0,0.0
ARCIU,0.0,0.0,0.0,N/A,0.0,0,0.0
ARCL,0.0,0.0,0.0,N/A,0.0,0,0.0
ARCLR,0.0,0.0,0.0,N/A,0.0,0,0.0
ARCLU,0.0,0.0,0.0,N/A,0.0,0,0.0
ARCT,0.0,0.0,0.0,N/A,0.0,0,0.0
ARDX,0.0,0.0,0.0,N/A,0.0,0,0.0
AREC,0.0,0.0,0.0,N/A,0.0,0,0.0
ARGX,0.0,0.0,0.0,N/A,0.0,0,0.0
ARHS,0.0,0.0,0.0,2026-03-17,0.35,0,0.0
ARKO,160.0,0.12,60.0,2026-05-17,0.03,0,0.0
ARKR,0.0,0.0,0.0,2024-05-30,0.188,0,0.0
ARLP,944.0,2.4,131.58,2026-05-07,0.6,0,0.0
ARM,0.0,0.0,0.0,N/A,0.0,0,0.0
ARMG,63.0,0.0,0.0,N/A,0.277,0,0.0
ARMY,0.0,0.0,0.0,N/A,0.0,0,0.0
AROW,335.0,1.2,37.54,2026-05-11,0.3,0,0.0
ARQ,0.0,0.0,0.0,2020-02-19,0.25,0,0.0
ARQQ,0.0,0.0,0.0,N/A,0.0,0,0.0
ARQQW,0.0,0.0,0.0,N/A,0.0,0,0.0
ARQT,0.0,0.0,0.0,N/A,0.0,0,0.0
ARRY,0.0,0.0,0.0,N/A,0.0,0,0.0
ARTC,0.0,0.0,0.0,N/A,0.0,0,0.0
ARTCU,0.0,0.0,0.0,N/A,0.0,0,0.0
ARTL,0.0,0.0,0.0,N/A,0.0,0,0.0
ARTNA,391.0,1.25,55.2,2026-05-14,0.32,0,0.0
ARTV,0.0,0.0,0.0,N/A,0.0,0,0.0
ARTW,0.0,0.0,0.0,2015-02-09,0.05,0,0.0
ARVN,0.0,0.0,0.0,N/A,0.0,0,0.0
ARVR,46.0,0.0,0.0,N/A,0.26,0,0.0
ARWR,0.0,0.0,0.0,N/A,0.0,0,0.0
ARXS,0.0,0.0,0.0,N/A,0.0,0,0.0
ASBP,0.0,0.0,0.0,N/A,0.0,0,0.0
ASBPW,0.0,0.0,0.0,N/A,0.0,0,0.0
ASCI,73.0,0.0,0.0,N/A,0.276,0,0.0
ASD,0.0,0.0,0.0,N/A,0.0,0,0.0
ASEC,0.0,0.0,0.0,N/A,0.0,0,0.0
ASLE,0.0,0.0,0.0,N/A,0.0,0,0.0
ASMB,0.0,0.0,0.0,N/A,0.0,0,0.0
ASMG,563.0,0.0,0.0,N/A,2.531,0,0.0
ASML,51.0,8.79,25.82,2026-04-26,3.177,0,0.0
ASMU,0.0,0.0,0.0,N/A,0.053,0,0.0
ASND,0.0,0.0,0.0,N/A,0.0,0,0.0
ASO,116.0,0.6,9.39,2026-03-19,0.15,0,0.0
ASPC,0.0,0.0,0.0,N/A,0.0,0,0.0
ASPCU,0.0,0.0,0.0,N/A,0.0,0,0.0
ASPI,0.0,0.0,0.0,N/A,0.0,0,0.0
ASPS,0.0,0.0,0.0,2012-12-13,0.0,0,0.0
ASPSW,0.0,0.0,0.0,N/A,0.0,0,0.0
ASPSZ,0.0,0.0,0.0,N/A,0.0,0,0.0
ASRT,0.0,0.0,0.0,N/A,0.0,0,0.0
ASRV,320.0,0.12,36.36,2026-05-03,0.03,0,0.0
ASST,0.0,0.0,0.0,N/A,0.0,0,0.0
ASTC,0.0,0.0,0.0,N/A,0.0,0,0.0
ASTE,102.0,0.52,46.43,2026-05-12,0.13,0,0.0
ASTH,0.0,0.0,0.0,N/A,0.0,0,0.0
ASTI,0.0,0.0,0.0,N/A,0.0,0,0.0
ASTL,0.0,0.0,38.54,2025-05-12,0.05,0,0.0
ASTLW,0.0,0.0,0.0,N/A,0.0,0,0.0
ASTS,0.0,0.0,0.0,N/A,0.0,0,0.0
ASUR,0.0,0.0,0.0,N/A,0.0,0,0.0
ASYS,0.0,0.0,0.0,N/A,0.0,0,0.0
ATAI,0.0,0.0,0.0,N/A,0.0,0,0.0
ATAT,153.0,0.54,42.22,2026-06-04,0.36,0,0.0
ATC,0.0,0.0,0.0,N/A,0.733,0,0.0
ATCX,0.0,0.0,0.0,N/A,0.0,0,0.0
ATEC,0.0,0.0,0.0,N/A,0.0,0,0.0
ATER,0.0,0.0,0.0,N/A,0.0,0,0.0
ATEX,0.0,0.0,0.0,N/A,0.0,0,0.0
ATGL,0.0,0.0,0.0,N/A,0.0,0,0.0
ATHE,0.0,0.0,0.0,N/A,0.0,0,0.0
ATHR,0.0,0.0,0.0,N/A,0.0,0,0.0
ATII,0.0,0.0,0.0,N/A,0.0,0,0.0
ATIIU,0.0,0.0,0.0,N/A,0.0,0,0.0
ATIIW,0.0,0.0,0.0,N/A,0.0,0,0.0
ATLC,0.0,0.0,0.0,2009-12-28,0.5,0,0.0
ATLCL,0.0,0.0,0.0,N/A,0.383,0,0.0
ATLCP,790.0,1.91,0.0,2026-05-31,0.477,0,0.0
ATLCZ,0.0,0.0,0.0,N/A,0.578,0,0.0
ATLN,0.0,0.0,0.0,N/A,0.0,0,0.0
ATLO,337.0,0.96,34.71,2026-05-31,0.24,0,0.0
ATLX,0.0,0.0,0.0,N/A,0.0,0,0.0
ATNI,426.0,1.1,68.69,2026-03-30,0.275,0,0.0
ATOM,0.0,0.0,0.0,N/A,0.0,0,0.0
ATOS,0.0,0.0,0.0,N/A,0.0,0,0.0
ATPC,0.0,0.0,0.0,N/A,0.0,0,0.0
ATRA,0.0,0.0,0.0,N/A,0.0,0,0.0
